index,image_path,location,location_normalized,year,taluk_norm,locality_norm
0,F:\images\2014\Alandur_Adambakkam.png,Alandur_Adambakkam,alandur adambakkam,2014,alandur,adambakkam
1,F:\images\2020\Alandur_Adambakkam.png,Alandur_Adambakkam,alandur adambakkam,2020,alandur,adambakkam
2,F:\images\2021\Alandur_Adambakkam.png,Alandur_Adambakkam,alandur adambakkam,2021,alandur,adambakkam
3,F:\images\2022\Alandur_Adambakkam.png,Alandur_Adambakkam,alandur adambakkam,2022,alandur,adambakkam
4,F:\images\2024\Alandur_Adambakkam.png,Alandur_Adambakkam,alandur adambakkam,2024,alandur,adambakkam
5,F:\images\2014\Alandur_Alandur.png,Alandur_Alandur,alandur alandur,2014,alandur,alandur
6,F:\images\2020\Alandur_Alandur.png,Alandur_Alandur,alandur alandur,2020,alandur,alandur
7,F:\images\2021\Alandur_Alandur.png,Alandur_Alandur,alandur alandur,2021,alandur,alandur
8,F:\images\2022\Alandur_Alandur.png,Alandur_Alandur,alandur alandur,2022,alandur,alandur
9,F:\images\2024\Alandur_Alandur.png,Alandur_Alandur,alandur alandur,2024,alandur,alandur
10,F:\images\2014\Alandur_Madanandapuram.png,Alandur_Madanandapuram,alandur madanandapuram,2014,alandur,madanandapuram
11,F:\images\2020\Alandur_Madanandapuram.png,Alandur_Madanandapuram,alandur madanandapuram,2020,alandur,madanandapuram
12,F:\images\2021\Alandur_Madanandapuram.png,Alandur_Madanandapuram,alandur madanandapuram,2021,alandur,madanandapuram
13,F:\images\2022\Alandur_Madanandapuram.png,Alandur_Madanandapuram,alandur madanandapuram,2022,alandur,madanandapuram
14,F:\images\2024\Alandur_Madanandapuram.png,Alandur_Madanandapuram,alandur madanandapuram,2024,alandur,madanandapuram
15,F:\images\2014\Alandur_Manapakkam.png,Alandur_Manapakkam,alandur manapakkam,2014,alandur,manapakkam
16,F:\images\2020\Alandur_Manapakkam.png,Alandur_Manapakkam,alandur manapakkam,2020,alandur,manapakkam
17,F:\images\2021\Alandur_Manapakkam.png,Alandur_Manapakkam,alandur manapakkam,2021,alandur,manapakkam
18,F:\images\2022\Alandur_Manapakkam.png,Alandur_Manapakkam,alandur manapakkam,2022,alandur,manapakkam
