Taluk,Locality,Location,Total_Area(sqkm),Year,Urban_Area(sqkm),Vegetation_Area(sqkm),Water_Area(sqkm)
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2010,4.410061503,5.252880259,0.596919947
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2011,4.599064139,5.165332255,0.590789286
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2012,4.788066774,5.077784251,0.594055283
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2013,4.97706941,4.990236246,0.593129985
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2014,5.142809206,4.88061142,0.594681153
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2015,5.28154732,4.749026396,0.587528065
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2016,5.415966928,4.618348864,0.583785988
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2017,5.548871643,4.490956005,0.578274131
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2018,5.678835763,4.36550453,0.573761487
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2019,5.807657641,4.243254625,0.567189514
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2020,6.300087861,4.377400216,0.59257886
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2021,6.5371213,4.228569201,1.282743759
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2022,6.594583174,4.020999669,0.00251894
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2023,6.824452897,3.934089586,0.72396869
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2024,6.91649156,3.832541951,1.088096809
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2025,7.061310793,3.733066932,1.18057672
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2010,1.994635863,2.494804812,2.164865441
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2011,2.080120258,2.453224732,2.181176167
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2012,2.165604652,2.411644652,2.148320309
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2013,2.251089046,2.370064571,2.166315506
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2014,2.33657344,2.328484491,2.180230885
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2015,2.422057834,2.286904411,2.168574261
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2016,2.507542228,2.245324331,2.14930681
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2017,2.593026623,2.203744251,2.176197173
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2018,2.678511017,2.16216417,2.168737828
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2019,2.763995411,2.12058409,2.143816202
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2020,2.849479805,2.07900401,2.163924095
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2021,2.913265202,1.988834564,2.190308143
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2022,3.032760157,1.948430846,2.111216907
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2023,3.154401315,1.894827407,2.043179188
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2024,3.199090803,1.758417118,2.134899989
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2025,3.371525968,1.636952822,2.083929119
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2010,2.29826771,4.575297941,2.460261019
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2011,2.396764898,4.499042975,2.477278529
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2012,2.495262085,4.422788009,2.464333376
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2013,2.593759273,4.346533044,2.482352448
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2014,2.692256461,4.270278078,2.496495232
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2015,2.790753648,4.194023112,2.489597579
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2016,2.889250836,4.117768147,2.490149771
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2017,2.987748023,4.041513181,2.480640122
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2018,3.086245211,3.965258215,2.486529472
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2019,3.184742398,3.88900325,2.474641731
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2020,3.283239586,3.812748284,2.473218668
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2021,3.425854621,3.759966188,2.383385728
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2022,3.647730149,3.674975369,2.24650102
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2023,3.822372433,3.582386922,2.164447183
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2024,3.969751232,3.456067135,2.143388171
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2025,4.052975474,3.269048769,2.247182295
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2010,6.719464622,8.794516018,1.11301171
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2011,6.952574174,8.580228319,1.094189857
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2012,7.1771001,8.363488554,1.086403696
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2013,7.397242453,8.149701086,1.080048811
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2014,7.618915523,7.944954146,1.063122682
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2015,7.832750161,7.738951058,1.055291131
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2016,8.04147709,7.534786983,1.050728277
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2017,8.247726907,7.334876602,1.044388841
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2018,8.451897909,7.139269801,1.03582464
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2019,8.648524247,6.943277315,1.035190788
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2020,10.0641051,7.683679299,1.157210173
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2021,10.16227994,7.519405364,1.47760305
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2022,10.33564926,7.229579218,1.424523101
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2023,10.51220614,7.011093202,1.065664219
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2024,10.86210357,6.909364946,2.472245772
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2025,11.20204069,6.776669322,0.840531237
Aminjikarai,Villivakkam,"Aminjikarai, Villivakkam",17.23192143,2010,6.422988949,8.531692771,0.948715659
Aminjikarai,Villivakkam,"Aminjikarai, Villivakkam",17.23192143,2011,6.698259904,8.389497892,0.948162299
Aminjikarai,Villivakkam,"Aminjikarai, Villivakkam",17.23192143,2012,6.973530858,8.247303012,0.942654756
