location,location_normalized,year,image_path
Alandur_Adambakkam,alandur adambakkam,2014,F:\images\2014\Alandur_Adambakkam.png
Alandur_Adambakkam,alandur adambakkam,2020,F:\images\2020\Alandur_Adambakkam.png
Alandur_Adambakkam,alandur adambakkam,2021,F:\images\2021\Alandur_Adambakkam.png
Alandur_Adambakkam,alandur adambakkam,2022,F:\images\2022\Alandur_Adambakkam.png
Alandur_Adambakkam,alandur adambakkam,2024,F:\images\2024\Alandur_Adambakkam.png
Alandur_Alandur,alandur alandur,2014,F:\images\2014\Alandur_Alandur.png
Alandur_Alandur,alandur alandur,2020,F:\images\2020\Alandur_Alandur.png
Alandur_Alandur,alandur alandur,2021,F:\images\2021\Alandur_Alandur.png
Alandur_Alandur,alandur alandur,2022,F:\images\2022\Alandur_Alandur.png
Alandur_Alandur,alandur alandur,2024,F:\images\2024\Alandur_Alandur.png
Alandur_Madanandapuram,alandur madanandapuram,2014,F:\images\2014\Alandur_Madanandapuram.png
Alandur_Madanandapuram,alandur madanandapuram,2020,F:\images\2020\Alandur_Madanandapuram.png
Alandur_Madanandapuram,alandur madanandapuram,2021,F:\images\2021\Alandur_Madanandapuram.png
Alandur_Madanandapuram,alandur madanandapuram,2022,F:\images\2022\Alandur_Madanandapuram.png
Alandur_Madanandapuram,alandur madanandapuram,2024,F:\images\2024\Alandur_Madanandapuram.png
Alandur_Manapakkam,alandur manapakkam,2014,F:\images\2014\Alandur_Manapakkam.png
Alandur_Manapakkam,alandur manapakkam,2020,F:\images\2020\Alandur_Manapakkam.png
Alandur_Manapakkam,alandur manapakkam,2021,F:\images\2021\Alandur_Manapakkam.png
Alandur_Manapakkam,alandur manapakkam,2022,F:\images\2022\Alandur_Manapakkam.png
Alandur_Manapakkam,alandur manapakkam,2024,F:\images\2024\Alandur_Manapakkam.png
Alandur_Meenambakkam,alandur meenambakkam,2014,F:\images\2014\Alandur_Meenambakkam.png
Alandur_Meenambakkam,alandur meenambakkam,2020,F:\images\2020\Alandur_Meenambakkam.png
Alandur_Meenambakkam,alandur meenambakkam,2021,F:\images\2021\Alandur_Meenambakkam.png
Alandur_Meenambakkam,alandur meenambakkam,2022,F:\images\2022\Alandur_Meenambakkam.png
Alandur_Meenambakkam,alandur meenambakkam,2024,F:\images\2024\Alandur_Meenambakkam.png
Alandur_Mugalivakkam,alandur mugalivakkam,2014,F:\images\2014\Alandur_Mugalivakkam.png
Alandur_Mugalivakkam,alandur mugalivakkam,2020,F:\images\2020\Alandur_Mugalivakkam.png
Alandur_Mugalivakkam,alandur mugalivakkam,2021,F:\images\2021\Alandur_Mugalivakkam.png
Alandur_Mugalivakkam,alandur mugalivakkam,2022,F:\images\2022\Alandur_Mugalivakkam.png
Alandur_Mugalivakkam,alandur mugalivakkam,2024,F:\images\2024\Alandur_Mugalivakkam.png
