Taluk,Locality,Location,Total_Area(sqkm),Year,Urban_Area(sqkm),Vegetation_Area(sqkm),Water_Area(sqkm)
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2020,6.300087861,4.377400216,0.59257886
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2021,6.5371213,4.228569201,1.282743759
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2022,6.594583174,4.020999669,0.00251894
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2023,6.824452897,3.934089586,0.72396869
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2024,6.91649156,3.832541951,1.088096809
Aminjikarai,Chinnakudal,"Aminjikarai, Chinnakudal",10.61810178,2025,7.061310793,3.733066932,1.18057672
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2020,2.849479805,2.07900401,2.163924095
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2021,2.913265202,1.988834564,2.190308143
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2022,3.032760157,1.948430846,2.111216907
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2023,3.154401315,1.894827407,2.043179188
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2024,3.199090803,1.758417118,2.134899989
Aminjikarai,Mullam,"Aminjikarai, Mullam",7.09240791,2025,3.371525968,1.636952822,2.083929119
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2020,3.283239586,3.812748284,2.473218668
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2021,3.425854621,3.759966188,2.383385728
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2022,3.647730149,3.674975369,2.24650102
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2023,3.822372433,3.582386922,2.164447183
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2024,3.969751232,3.456067135,2.143388171
Aminjikarai,Siruvallur,"Aminjikarai, Siruvallur",9.569206538,2025,4.052975474,3.269048769,2.247182295
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2020,10.0641051,7.683679299,1.157210173
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2021,10.16227994,7.519405364,1.47760305
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2022,10.33564926,7.229579218,1.424523101
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2023,10.51220614,7.011093202,1.065664219
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2024,10.86210357,6.909364946,2.472245772
Aminjikarai,Thirumangalam,"Aminjikarai, Thirumangalam",16.62699235,2025,11.20204069,6.776669322,0.840531237
Aminjikarai,Villivakkam,"Aminjikarai, Villivakkam",17.23192143,2020,9.175698498,7.109743976,0.946478953
